ch,tag,i,id,title,views,age,vpd,date
Axen,W,1,TQd2k1pEXp4,What Did Ancient Humans Do all Day Before Jobs Existed?,3118225,96,32481.510416666668,20260504
Axen,W,2,2RJggsjlj4A,How Did Ancient Humans Survive the World's Deadliest Predators?,1076721,102,10556.088235294117,20260428
Axen,W,3,wt_7Hp7d7I8,How Did Ancient Humans Survive Deadly Winters?,672788,70,9611.257142857143,20260530
Axen,W,4,lJVPvTGUftQ,How Did Ancient Humans Have Privacy?,258173,95,2717.6105263157897,20260505
Axen,L,1,H6pReZzpmfE,What Was the World Like in Ancient Human Times?,23840,66,361.2121212121212,20260603
Axen,L,2,ebFhKmweSHo,Weird Feelings You Get That Your Brain Can't Explain...,26378,102,258.6078431372549,20260428
Axen,L,3,q_Rqvd1ayUE,Our WORLD is F*cked Up...,11832,64,184.875,20260605
Axen,L,4,UFAPaRxXEAo,Napoleon Did Some Truly Bizarre Things...,9706,73,132.95890410958904,20260527
BrightPsycho,W,1,PjqINjTut7g,Why Can't We Eat Predator Meat?,504462,30,16815.4,20260709
BrightPsycho,W,2,ScrVF_FJYq8,Why Don't Predators Eat Other Predators?,161520,15,10768.0,20260724
BrightPsycho,W,3,OD_OgGOvJPw,Why Do Predators Swallow Meat Whole ?,65984,9,7331.555555555556,20260730
BrightPsycho,W,4,B7q5hc0yyYI,Why Do We Only Eat Chicken Eggs?,135214,28,4829.071428571428,20260711
BrightPsycho,L,1,Ft0SgnRNvNU,Expert Reveals 3 Simple Tricks to Boost Your Daily Productivity with Micro-Wins,28,202,0.13861386138613863,20260118
BrightPsycho,L,2,lXkoPNPDB9g,Top Doctor Reveals 5-Second ENERGY BOOST with Cold Water Wrist Trick,22,187,0.11764705882352941,20260202
BrightPsycho,L,3,EHPbS-QjEiQ,Are Intelligent People With Imposter Syndrome Hiding In Plain Sight,24,215,0.11162790697674418,20260105
BrightPsycho,L,4,V0bqskfZCoY,Calm on Sundays Is Meditation Really Better Than Deep Breathing for Relaxation?,15,181,0.08287292817679558,20260208
InkExplainer,W,1,SD7XyG2wd1k,What Did Ancient Humans Do When It Rained All Week?,1101989,36,30610.805555555555,20260703
InkExplainer,W,2,OCr6NteWSQ8,Why Are We the Only Human Species Left? What happened to others...,884194,55,16076.254545454545,20260614
InkExplainer,W,3,QP1maS6hYn4,How Did Ancient Humans Travel the World?,657575,46,14295.108695652174,20260623
InkExplainer,W,4,9AFO6MHy8y4,When Did Ancient Humans Start Drinking Alcohol?,770747,84,9175.559523809523,20260516
InkExplainer,L,1,rpoVSR-9qNI,Why Life Speeds Up As You Get Older?,137062,89,1540.0224719101125,20260511
InkExplainer,L,2,0WtFuiHn2-g,How Did Human Accidentally Invented Guns?,18404,14,1314.5714285714287,20260725
