kênh,view,tiêu đề,ký tự,từ,là câu hỏi,mở bằng từ hỏi,có 'you',có 'ancient',từ cực đại,từ nguy hiểm,có số,CHỮ HOA CẢ TỪ,dấu ...,dấu !
Axen,1076721,How Did Ancient Humans Survive the World's Deadliest Predators?,63,9,1,1,0,1,1,3,0,0,0,0
Axen,26378,Weird Feelings You Get That Your Brain Can't Explain...,55,9,0,0,1,0,0,0,0,0,1,0
Axen,3118225,What Did Ancient Humans Do all Day Before Jobs Existed?,55,10,1,1,0,1,0,0,0,0,0,0
Axen,258173,How Did Ancient Humans Have Privacy?,36,6,1,1,0,1,0,0,0,0,0,0
Axen,9706,Napoleon Did Some Truly Bizarre Things...,41,6,0,0,0,0,1,0,0,0,1,0
Axen,672788,How Did Ancient Humans Survive Deadly Winters?,46,7,1,1,0,1,0,2,0,0,0,0
Axen,23840,What Was the World Like in Ancient Human Times?,47,9,1,1,0,1,0,0,0,0,0,0
Axen,11832,Our WORLD is F*cked Up...,25,5,0,0,0,0,0,0,0,1,1,0
Axen,88002,Why Does the OCEAN Get Creepier the Deeper You Go?,50,10,1,1,1,0,0,0,0,1,0,0
Axen,24542,What Did Ancient Human Education Look Like?,43,7,1,1,0,1,0,0,0,0,0,0
Axen,21710,Do Animals Live More Freely Than Humans?,40,7,1,1,0,0,0,0,0,0,0,0
Axen,4252,"How Gross Was the Past, Really?",31,6,1,1,0,0,0,1,0,0,0,0
BeforeCivilization,3011,What Did Ancient Humans Do After Dusk?,38,7,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,1705,What Ancient Humans Found Attractive Might Surprise You,55,8,0,1,1,1,0,0,0,0,0,0
BeforeCivilization,1458,Why Ancient Humans Never Got Lost (And You Still Have This Skill),65,12,0,1,1,1,1,0,0,0,0,0
BeforeCivilization,2025,Ancient Humans Had To Do This To Keep Babies Alive,50,10,0,0,0,1,0,0,0,0,0,0
BeforeCivilization,4992,How Did Ancient Humans get High & What They Did will Surprise You,65,13,0,1,1,1,0,0,0,0,0,0
BeforeCivilization,3987,Ancient Humans Had No Jobs... So What Did They Do All Day?,58,12,1,0,0,1,0,0,0,0,1,0
BeforeCivilization,13792,What Did Ancient Humans Eat That Kept Them From Getting Fat?,60,11,1,1,0,1,0,0,0,0,0,0
BeforeCivilization,49308,Why Did Ancient Humans Live 280 Feet Underground? ( SHOCKING!!),63,10,0,1,0,1,0,0,1,1,0,2
