IMG	SENTENCE	MATCH	KIND	SCENE
1	Right now, you might be the most defenseless animal in your 	TIGHT	MODERN	a small fur-free white human standing alone and ne
2	No fur.   ⏐   No claws.   ⏐   No fangs.   ⏐   Slow.	TIGHT	MODERN	a small fur-free white human standing alone and ne
3	Soft.   ⏐   Sunburned by a single afternoon outside.	TIGHT	MODERN	a white human turned pink and peeling under a big 
4	Drop you alone on the open savanna with nothing...	THEME	OBJECT	close-up of skin dotted with tiny follicles, same 
5	and almost every rule of nature says you should be dead befo	TIGHT	MODERN	a fur-free white human with a tiny goosebump arm a
6	You are surrounded by animals that are faster, stronger, and	TIGHT	MODERN	a fur-free white human flexing one arm with a smal
7	all of them covered, head to toe, in the one thing you threw	TIGHT	MODERN	an evolution arrow: hunched furry ape turning into
8	Fur.   ⏐   And here is the strange part.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
9	Under your skin, you carry about the same number of hair fol	TIGHT	CHIMP	split frame: a brown furry chimp and a fur-free wh
10	Roughly five million.   ⏐   Same hardware.	TIGHT	OBJECT	two identical control panels labelled by icons: on
11	The chimp grew a thick, full-body coat.	TIGHT	CHIMP	a chimp fully covered in flat brown fur beside a f
12	You grew goosebumps... and a patchy mustache you are not ful	TIGHT	MODERN	extreme close-up of a fur-free white forearm cover
13	Out of nearly every mammal on Earth, we are the naked ones.	TIGHT	OBJECT	a row of furry animals (bear, wolf, cat) vs one fu
14	And on paper, losing that fur should have killed us.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
15	Fur keeps you warm.   ⏐   Fur blocks the sun.	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
16	Fur protects the skin from bites.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
17	By every obvious measure, fur is an excellent product.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
18	And almost every other mammal kept theirs.	TIGHT	OBJECT	a row of furry animals (bear, wolf, cat) vs one fu
19	So why did one ape hand it back?	THEME	MODERN	a white human shivering next to a cozy furry anima
20	Why are you sitting there, soft and exposed and breakable...	TIGHT	MODERN	a fur-free smooth white human gesturing at their o
21	instead of warm and covered like a sensible animal?	TIGHT	OBJECT	a cozy furry animal warm and smiling, a small shie
22	And how did the single most defenseless ape on the savanna..	TIGHT	MODERN	a small fur-free white human standing alone and ne
23	end up running the entire planet?	TIGHT	ANCESTOR	a caveman running steadily across savanna chasing 
24	The answer is stranger than "we got a little too warm."	TIGHT	OBJECT	a cozy furry animal warm and smiling, a small shie
25	It runs through a hunting trick that sounds completely made 	TIGHT	ANCESTOR	a caveman running steadily across savanna chasing 
26	A clue hidden in the color of your skin.	TIGHT	OBJECT	an open doodle book / scroll with small icons (sun
27	And one final twist that happened to you...	THEME	MODERN	a white human shivering next to a cozy furry anima
28	before you were even born.	TIGHT	OBJECT	a swaddled baby doodle wrapped in a soft blanket, 
29	Because losing our fur did not make us weak.	TIGHT	OBJECT	a thick fur coat doodle on a hanger, with a bold R
30	It quietly turned us into the most dangerous animal alive.	TIGHT	MODERN	a row of furry mammals on the left, one fur-free w
31	And that animal... is you.   ⏐   First, the honest part.	TIGHT	MODERN	an evolution arrow: hunched furry ape turning into
32	There is no single reason we lost our fur.	TIGHT	OBJECT	a thick fur coat doodle on a hanger, with a bold R
33	There almost never is, with evolution.	TIGHT	OBJECT	an evolution line: hunched ape → upright fur-free 
34	Evolution does not sit down and make clean decisions.	TIGHT	OBJECT	an evolution line: hunched ape → upright fur-free 
35	It stumbles forward, keeping whatever does not get you kille	THEME	OBJECT	one arrow splitting into many small arrows (many r
36	Losing the coat was a slow stack of pressures...	TIGHT	OBJECT	a thick fur coat doodle on a hanger
37	piling up over more than a million years.	TIGHT	OBJECT	a spotted leopard facing a small determined fur-fr
38	Heat pushed first.   ⏐   Then the sun rewrote our skin.	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
39	Then parasites made bare skin even more worth it.	TIGHT	OBJECT	close-up: thick fur hiding tiny bugs on the left v
40	Then, much later, we cheated the whole system with clothes.	TIGHT	ANCESTOR	a caveman wrapping a brown animal-hide around the 
41	And the strangest clue of all is waiting at the very end.	TIGHT	OBJECT	an open doodle book / scroll with small icons (sun
42	So let us go back to where it started.	THEME	OBJECT	a checklist doodle with several ticked-off reasons
43	Out in the open.   ⏐   Under the sun.	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
44	Picture an early human on the open savanna.	THEME	OBJECT	a blazing sun over dry cracked savanna ground
45	No claws.   ⏐   No fangs.   ⏐   No real fur left.	TIGHT	MODERN	a small fur-free white human standing alone and ne
46	On paper... a snack.   ⏐   The lion is stronger than you.	TIGHT	MODERN	a fur-free white human flexing one arm with a smal
47	The antelope is faster than you.	TIGHT	OBJECT	a tan antelope running then collapsing exhausted o
48	The leopard is better armed than you.	TIGHT	OBJECT	a spotted leopard facing a small determined fur-fr
49	And then there is us.   ⏐   Jogging.	THEME	ANCESTOR	a white caveman jogging across savanna, sweat drop
50	Because here is the thing humans are quietly, almost disturb	TIGHT	MODERN	a fur-free white human with wavy heat lines liftin
51	Not stopping.   ⏐   When most animals run hard, they overhea	TIGHT	OBJECT	a fur-free white figure with sweat drops and wavy 
52	Their fur traps the heat against the body.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
53	And they mostly cool down by panting.	TIGHT	OBJECT	a tan dog panting hard with tongue out, looking ho
54	But you cannot pant hard and sprint at full speed at the sam	TIGHT	MODERN	a furry animal panting and overheating vs a cool s
55	So they run, they overheat, and eventually they have to stop	TIGHT	OBJECT	a fur-free white figure with sweat drops and wavy 
56	Humans found a loophole.	THEME	OBJECT	a blazing sun over dry cracked savanna ground
57	We have millions of sweat glands spread across bare skin.	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
58	We pour heat straight off the body, while we keep moving.	TIGHT	OBJECT	a simple full-body doodle of a fur-free white huma
59	A thick fur coat would ruin that whole system.	TIGHT	OBJECT	a thick fur coat doodle on a hanger
60	It traps the heat.	TIGHT	MODERN	a fur-free human cooling down with wavy sweat line
61	It turns sweat into a damp, useless mess instead of a coolin	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
62	Imagine running a marathon zipped inside a wet sleeping bag.	TIGHT	ANCESTOR	a caveman running steadily across savanna chasing 
63	That is what fur becomes, when your survival plan is out-suf	TIGHT	MODERN	a fur-free white human flexing one arm with a smal
64	So bare skin plus sweat unlocked a genuinely strange superpo	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
65	The long chase.   ⏐   Scientists call it persistence hunting	TIGHT	ANCESTOR	a caveman running steadily across savanna chasing 
66	And it works like this.   ⏐   You pick an animal.	TIGHT	MODERN	a furry animal panting and overheating vs a cool s
67	It sprints away and wins, instantly.	THEME	ANCESTOR	a caveman walking upright relentlessly across the 
68	And then you simply... follow.   ⏐   It runs again.	THEME	OBJECT	a blazing sun over dry cracked savanna ground
69	You keep coming.   ⏐   It hides in the shade.	THEME	OBJECT	a long dotted endurance trail with a tiny figure a
70	You find it.   ⏐   It bolts again.   ⏐   You keep coming.	THEME	MODERN	a collapsed antelope with a calm human arriving on
71	A few hours later, the fast, powerful animal is collapsing, 	TIGHT	OBJECT	a fur-free white figure with sweat drops and wavy 
72	and the slow, sweaty, hairless thing is still calmly walking	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
73	For the prey, this is a nightmare with no ending.	TIGHT	OBJECT	a tan antelope running then collapsing exhausted o
74	It cannot understand why the weird upright creature will not	TIGHT	OBJECT	a row of furry animals (bear, wolf, cat) vs one fu
75	Anthropologist Nina Jablonski and other researchers argue th	TIGHT	OBJECT	a fur-free white figure with sweat drops and wavy 
76	was central to why humans became so unusually hairless.	TIGHT	MODERN	a fur-free smooth white human gesturing at their o
